Country,Year,Population,GDP,GDP_Growth,GDP_Per_Capita,Medal,Athelets,Continent,Status,Income
Afghanistan,1984,12699058.75,18585000222,7.15,1466,0,0,Asia,Developing,Low income
Albania,1984,2819077.75,12831099178,0.75,4550.75,0,0,Europe,Developed,Upper middle income
Algeria,1984,20785662.75,1.92E+11,1.9825,9209.25,2,33,Africa,Developing,Upper middle income
Andorra,1984,40043.25,1321451652,-2.9825,33048.75,0,2,Europe,Developed,High income
Angola,1984,9121577.25,14108596796,-4.77,1550.25,0,0,Africa,Developing,Lower middle income
Antigua and Barbuda,1984,61783,557398866.5,5.9975,9022,0,14,Americas,Developing,High income
Argentina,1984,29033052.5,4.54E+11,-1.825,15629.25,0,81,Americas,Developing,Upper middle income
Armenia,1984,3216494.25,21821811703,-0.6375,6785.25,0,0,Asia,Developing,Upper middle income
Australia,1984,15093561,4.01E+11,1.1175,26545,24,242,Oceania,Developed,High income
Austria,1984,7604271.25,2.28E+11,1.845,30037,3,102,Europe,Developed,High income
Azerbaijan,1984,6402128.75,54527659028,3.6125,8511.5,0,0,Asia,Developing,Upper middle income
Bahamas,1984,222627.75,6990056102,2.095,31348.5,0,22,Americas,Developing,High income
Bahrain,1984,390939.25,15879706915,-0.9425,40615.25,0,10,Asia,Developing,High income
Bangladesh,1984,85064666.75,1.07E+11,2.08,1261.75,0,1,Asia,Developing,Lower middle income
Barbados,1984,254414.5,3250080431,-1.3025,12775.25,0,16,Americas,Developing,High income
Belarus,1984,9736486.75,88168746681,2.2025,9053.75,0,0,Europe,Developed,Upper middle income
Belgium,1984,9893665,2.89E+11,1.035,29202.5,4,63,Europe,Developed,High income
Belize,1984,153804.75,554971645.3,-2.42,3612.5,0,11,Americas,Developing,Upper middle income
Benin,1984,3986150.5,8448143870,2.0025,2118.75,0,3,Africa,Developing,Low income
Bhutan,1984,434584.75,671046128.8,4.275,1542.5,0,6,Asia,Developing,Lower middle income
Bolivia,1984,5874595,27982440046,-3.02,4768.25,0,11,Americas,Developing,Lower middle income
Bosnia and Herzegovina,1984,4286533.75,22741144205,-1.5625,5307,0,0,Europe,Developed,Upper middle income
Botswana,1984,980208.5,4797694438,7.85,4878.75,0,7,Africa,Developing,Upper middle income
Brazil,1984,127975258.3,1.24E+12,-1.9975,9679.5,8,147,Americas,Developing,Upper middle income
Brunei,1984,209085,20407917290,-6.6575,97659.75,0,0,Asia,Developing,High income
Bulgaria,1984,8939459,1.17E+11,2.12,13122.5,0,0,Europe,Developed,Upper middle income
Burkina Faso,1984,7253893.5,6689173823,-0.5425,922.75,0,0,Africa,Developing,Low income
Burundi,1984,4441221.75,4735635944,0.1875,1067,0,0,Africa,Developing,Low income
Cambodia,1984,7071875,11299054310,2.8625,1595,0,0,Asia,Developing,Lower middle income
Cameroon,1984,9317423,41755501286,4.7225,4473.25,1,46,Africa,Developing,Lower middle income
Canada,1984,25050254.75,7.49E+11,1.0625,29893.25,44,408,Americas,Developed,High income
Central African Republic,1984,2371621,3237684671,-1.665,1366.75,0,3,Africa,Developing,Low income
Chad,1984,4780223,3662426925,1.795,765,0,3,Africa,Developing,Low income
Chile,1984,11828005.25,99170603422,-3.2325,8393.5,0,52,Americas,Developing,High income
China,1984,1035643644,1.46E+12,2.56,1410,32,215,Asia,Developing,Upper middle income
Colombia,1984,28410961.25,2.1E+11,-0.3625,7392,1,39,Americas,Developing,Upper middle income
Comoros,1984,331526,897811007.8,4.6925,2703.75,0,0,Africa,Developing,Lower middle income
Costa Rica,1984,2559046.5,22675476670,-1.99,8864.75,0,28,Americas,Developing,Upper middle income
Croatia,1984,4657467.25,87870479442,0.675,18866,0,0,Europe,Developed,High income
Cuba,1984,9963039.75,53478594930,5.345,5366.25,0,0,Americas,Developing,Upper middle income
Cyprus,1984,693169.25,10844738722,5.755,15640.25,0,10,Asia,Developed,High income
Czech Republic,1984,10356379,1.96E+11,1.6275,18968,0,0,Europe,Developed,High income
Denmark,1984,5121076.75,1.66E+11,2.7975,32444,6,60,Europe,Developed,High income
Djibouti,1984,390005,1352821400,-1.5675,3470.25,0,3,Africa,Developing,Lower middle income
Dominica,1984,74664,386250341.8,6.32,5174.75,0,0,Americas,Developing,Upper middle income
Dominican Republic,1984,6133770.25,34708058643,1.31,5657,1,19,Americas,Developing,Upper middle income
Ecuador,1984,8518775.25,70724218877,-0.445,8306,0,11,Americas,Developing,Upper middle income
Egypt,1984,46159083.75,2.36E+11,4.5925,5110.5,1,113,Africa,Developing,Lower middle income
