,Country,Year,Population,GDP,GDP_Growth,GDP_Per_Capita,Medal,Athelets,Continent,Status
0,Afghanistan,1984,12699058.75,18585000222.0,7.15,1466.0,0,0,Asia,Developing
1,Albania,1984,2819077.75,12831099178.0,0.75,4550.75,0,0,Europe,Developed
2,Algeria,1984,20785662.75,192000000000.0,1.9825,9209.25,2,33,Africa,Developing
3,Andorra,1984,40043.25,1321451652.0,-2.9825,33048.75,0,2,Europe,Developed
4,Angola,1984,9121577.25,14108596796.0,-4.77,1550.25,0,0,Africa,Developing
5,Antigua and Barbuda,1984,61783.0,557398866.5,5.9975000000000005,9022.0,0,14,Americas,Developing
6,Argentina,1984,29033052.5,454000000000.0,-1.8250000000000002,15629.25,0,81,Americas,Developing
7,Armenia,1984,3216494.25,21821811703.0,-0.6375000000000001,6785.25,0,0,Asia,Developing
8,Australia,1984,15093561.0,401000000000.0,1.1175,26545.0,24,242,Oceania,Developed
9,Austria,1984,7604271.25,228000000000.0,1.845,30037.0,3,102,Europe,Developed
10,Azerbaijan,1984,6402128.75,54527659028.0,3.6125,8511.5,0,0,Asia,Developing
11,Bahamas,1984,222627.75,6990056102.0,2.095,31348.5,0,22,Americas,Developing
12,Bahrain,1984,390939.25,15879706915.0,-0.9425,40615.25,0,10,Asia,Developing
13,Bangladesh,1984,85064666.75,107000000000.0,2.08,1261.75,0,1,Asia,Developing
14,Barbados,1984,254414.5,3250080431.0,-1.3025,12775.25,0,16,Americas,Developing
15,Belarus,1984,9736486.75,88168746681.0,2.2025,9053.75,0,0,Europe,Developed
16,Belgium,1984,9893665.0,289000000000.0,1.035,29202.5,4,63,Europe,Developed
17,Belize,1984,153804.75,554971645.3,-2.42,3612.5,0,11,Americas,Developing
18,Benin,1984,3986150.5,8448143870.0,2.0025,2118.75,0,3,Africa,Developing
19,Bhutan,1984,434584.75,671046128.8,4.275,1542.5,0,6,Asia,Developing
20,Bolivia,1984,5874595.0,27982440046.0,-3.02,4768.25,0,11,Americas,Developing
21,Bosnia and Herzegovina,1984,4286533.75,22741144205.0,-1.5625,5307.0,0,0,Europe,Developed
22,Botswana,1984,980208.5,4797694438.0,7.85,4878.75,0,7,Africa,Developing
23,Brazil,1984,127975258.3,1240000000000.0,-1.9975,9679.5,8,147,Americas,Developing
24,Brunei,1984,209085.0,20407917290.0,-6.6575,97659.75,0,0,Asia,Developing
25,Bulgaria,1984,8939459.0,117000000000.0,2.12,13122.5,0,0,Europe,Developed
26,Burkina Faso,1984,7253893.5,6689173823.0,-0.5425,922.75,0,0,Africa,Developing
27,Burundi,1984,4441221.75,4735635944.0,0.1875,1067.0,0,0,Africa,Developing
28,Cambodia,1984,7071875.0,11299054310.0,2.8625,1595.0,0,0,Asia,Developing
29,Cameroon,1984,9317423.0,41755501286.0,4.7225,4473.25,1,46,Africa,Developing
30,Canada,1984,25050254.75,749000000000.0,1.0625,29893.25,44,408,Americas,Developed
31,Central African Republic,1984,2371621.0,3237684671.0,-1.665,1366.75,0,3,Africa,Developing
32,Chad,1984,4780223.0,3662426925.0,1.795,765.0,0,3,Africa,Developing
33,Chile,1984,11828005.25,99170603422.0,-3.2325,8393.5,0,52,Americas,Developing
34,China,1984,1035643644.0,1460000000000.0,2.56,1410.0,32,215,Asia,Developing
35,Colombia,1984,28410961.25,210000000000.0,-0.36250000000000004,7392.0,1,39,Americas,Developing
36,Comoros,1984,331526.0,897811007.8,4.6925,2703.75,0,0,Africa,Developing
37,Costa Rica,1984,2559046.5,22675476670.0,-1.99,8864.75,0,28,Americas,Developing
38,Croatia,1984,4657467.25,87870479442.0,0.675,18866.0,0,0,Europe,Developed
39,Cuba,1984,9963039.75,53478594930.0,5.345,5366.25,0,0,Americas,Developing
40,Cyprus,1984,693169.25,10844738722.0,5.755,15640.25,0,10,Asia,Developed
41,Czech Republic,1984,10356379.0,196000000000.0,1.6275,18968.0,0,0,Europe,Developed
42,Denmark,1984,5121076.75,166000000000.0,2.7975,32444.0,6,60,Europe,Developed
43,Djibouti,1984,390005.0,1352821400.0,-1.5675,3470.25,0,3,Africa,Developing
44,Dominica,1984,74664.0,386250341.8,6.32,5174.75,0,0,Americas,Developing
45,Dominican Republic,1984,6133770.25,34708058643.0,1.31,5657.0,1,19,Americas,Developing
46,Ecuador,1984,8518775.25,70724218877.0,-0.445,8306.0,0,11,Americas,Developing
47,Egypt,1984,46159083.75,236000000000.0,4.5925,5110.5,1,113,Africa,Developing
48,El Salvador,1984,4769898.5,23497905856.0,-1.9575,4926.75,0,10,Americas,Developing
49,Equatorial Guinea,1984,297192.5,713637673.5,-4.095,2411.75,0,4,Africa,Developing
50,Eritrea,1984,1864559.25,2664509925.0,0.37,1428.75,0,0,Africa,Developing
51,Estonia,1984,1497283.5,21663615117.0,3.45,14464.75,0,0,Europe,Developed
52,Ethiopia,1984,37624200.5,33964273955.0,-2.9925,903.5,0,0,Africa,Developing
