,Country,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016,2020
0,Afghanistan,0,0,0,0,0,0,0,1,1,0,0
1,Albania,0,0,0,0,0,0,0,0,0,0,0
2,Algeria,0,2,0,2,3,5,0,2,1,2,0
3,Andorra,0,0,0,0,0,0,0,0,0,0,0
4,Angola,0,0,0,0,0,0,0,0,0,0,0
5,Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0
6,Argentina,0,0,2,1,3,4,6,6,4,4,3
7,Armenia,0,0,0,0,2,1,0,5,2,4,4
8,Australia,9,24,14,27,41,58,50,46,35,29,46
9,Austria,4,3,1,2,3,3,7,3,0,1,7
10,Azerbaijan,0,0,0,0,1,3,5,6,9,18,7
11,Bahamas,0,0,0,1,1,3,2,2,1,2,2
12,Bahrain,0,0,0,0,0,0,0,0,1,2,1
13,Bangladesh,0,0,0,0,0,0,0,0,0,0,0
14,Barbados,0,0,0,0,0,1,0,0,0,0,0
15,Belarus,0,0,0,0,15,17,13,14,10,9,7
16,Belgium,1,4,2,3,6,5,3,2,3,6,7
17,Belize,0,0,0,0,0,0,0,0,0,0,0
18,Benin,0,0,0,0,0,0,0,0,0,0,0
19,Bhutan,0,0,0,0,0,0,0,0,0,0,0
20,Bolivia,0,0,0,0,0,0,0,0,0,0,0
21,Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0
22,Botswana,0,0,0,0,0,0,0,0,1,0,1
23,Brazil,4,8,6,3,15,12,10,17,17,19,21
24,Brunei,0,0,0,0,0,0,0,0,0,0,0
25,Bulgaria,41,0,35,16,15,13,12,5,3,3,6
26,Burkina Faso,0,0,0,0,0,0,0,0,0,0,1
27,Burundi,0,0,0,0,1,0,0,0,0,1,0
28,Cambodia,0,0,0,0,0,0,0,0,0,0,0
29,Cameroon,0,1,0,0,0,1,1,1,1,0,0
30,Canada,0,44,10,18,22,14,12,20,18,22,24
31,Cape Verde,0,0,0,0,0,0,0,0,0,0,0
32,Central African Republic,0,0,0,0,0,0,0,0,0,0,0
33,Chad,0,0,0,0,0,0,0,0,0,0,0
34,Chile,0,0,1,0,0,1,3,1,0,0,0
35,China,0,32,28,54,50,58,63,100,91,70,88
36,Colombia,0,1,1,1,0,1,2,3,9,8,5
37,Comoros,0,0,0,0,0,0,0,0,0,0,0
38,"Congo, Dem. Rep.",0,0,0,0,0,0,0,0,0,0,0
39,"Congo, Rep.",0,0,0,0,0,0,0,0,0,0,0
40,Costa Rica,0,0,1,0,1,2,0,0,0,0,0
41,Cote d'Ivoire,0,0,0,0,0,0,0,0,0,0,0
42,Croatia,0,0,0,3,2,2,5,5,6,10,8
43,Cuba,20,0,0,31,25,29,27,30,15,11,15
