,geo,name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,afg,Afghanistan,13356500,13171679,12882518,12537732,12204306,11938204,11736177,11604538,11618008,11868873,12412311,13299016,14485543,15816601,17075728,18110662,18853444,19357126,19737770,20170847,20779957,21606992,22600774,23680871,24726689,25654274,26433058,27100542,27722281,28394806,29185511,30117411,31161378,32269592,33370804,34413603,35383028,36296111,37171922,38041757,38928341
1,alb,Albania,2682697,2737018,2790284,2844867,2904142,2969671,3044201,3124892,3200972,3257913,3286070,3280397,3245887,3195196,3146518,3112923,3098699,3099747,3110699,3122700,3129246,3129701,3126183,3118017,3104893,3086810,3063021,3033993,3002683,2973044,2948029,2928601,2914091,2903788,2896307,2890524,2886427,2884169,2882735,2880913,2877800
2,dza,Algeria,19221659,19824297,20452901,21101875,21763578,22431507,23102386,23774287,24443472,25106192,25758872,26400468,27028330,27635517,28213777,28757788,29266415,29742980,30192750,30623406,31042238,31451513,31855110,32264159,32692153,33149720,33641007,34166976,34730604,35333882,35977451,36661438,37383899,38140135,38923688,39728020,40551398,41389174,42228415,43053054,43851043
3,and,Andorra,36063,37498,39115,40854,42706,44593,46520,48459,50433,52452,54508,56666,58882,60974,62676,63860,64363,64318,64140,64368,65390,67344,70048,73180,76250,78871,80995,82682,83860,84461,84454,83748,82427,80770,79213,77993,77295,76997,77008,77146,77265
4,ago,Angola,8341290,8640478,8952971,9278104,9614756,9961993,10320116,10689247,11068051,11454784,11848385,12248901,12657361,13075044,13503753,13945205,14400722,14871572,15359600,15866871,16395477,16945753,17519418,18121477,18758138,19433604,20149905,20905360,21695636,22514275,23356247,24220660,25107925,26015786,26941773,27884380,28842482,29816769,30809787,31825299,32866268
5,atg,Antigua and Barbuda,61861,61789,61780,61779,61784,61785,61754,61713,61758,62007,62533,63363,64459,65777,67201,68672,70176,71707,73219,74674,76007,77212,78298,79311,80347,81462,82715,84029,85394,86743,88030,89250,90407,91510,92562,93571,94520,95425,96282,97115,97928
6,arg,Argentina,27896532,28338514,28794550,29262049,29737097,30216284,30698964,31184411,31668939,32148137,32618648,33079002,33529320,33970103,34402669,34828168,35246376,35657438,36063451,36467218,36870796,37275644,37681743,38087866,38491970,38892924,39289876,39684303,40080159,40482786,40895751,41320497,41755188,42196034,42637508,43075416,43508459,43937143,44361150,44780675,45195777
7,arm,Armenia,3099759,3148096,3193696,3238592,3285593,3335935,3392264,3451947,3504667,3536473,3538164,3505249,3442820,3363111,3283664,3217349,3168213,3133081,3108691,3089020,3069597,3050686,3033976,3017938,3000715,2981262,2958301,2932615,2907615,2888094,2877314,2876536,2884239,2897593,2912403,2925559,2936147,2944789,2951741,2957728,2963234
8,aus,Australia,14588400,14777241,14979203,15194644,15423156,15663672,15917580,16183159,16452258,16713989,16960600,17189235,17402179,17603211,17798526,17993083,18189274,18387205,18587027,18788187,18991434,19194676,19401366,19624163,19879654,20178543,20526300,20916339,21332293,21750852,22154687,22538002,22903951,23254912,23596426,23932499,24262710,24584619,24898153,25203200,25499881
9,aut,Austria,7609750,7604512,7602177,7603100,7607296,7614874,7625395,7639351,7658856,7686564,7723954,7772698,7830938,7892089,7947215,7990113,8017852,8032873,8041054,8051116,8069276,8097755,8134403,8175855,8216810,8253656,8285345,8313731,8341525,8372658,8409945,8453501,8502230,8556191,8615205,8678667,8747306,8819902,8891383,8955108,9006400
10,aze,Azerbaijan,6150735,6249312,6349555,6452067,6557581,6666447,6778631,6893486,7010027,7126877,7242758,7357945,7471924,7581754,7683704,7775418,7855558,7925668,7989903,8054126,8122743,8197295,8277065,8361433,8448938,8538610,8630153,8724237,8821869,8924383,9032465,9146277,9264684,9385467,9505616,9622741,9736041,9845316,9949537,10047719,10139175
11,bhs,Bahamas,210589,215321,220182,225095,229913,234579,239020,243265,247451,251738,256227,261007,266028,271065,275849,280179,283980,287363,290600,294063,298045,302618,307657,313123,318893,324848,331032,337387,343680,349600,354936,359583,363581,367162,370625,374200,377923,381749,385635,389486,393248
12,bhr,Bahrain,359897,374120,385953,396451,407233,419428,433478,448981,465198,481081,495927,509762,523082,536212,549590,563698,578661,594927,613697,636540,664610,697550,735140,778708,829846,889157,958423,1035924,1114645,1185075,1240864,1278153,1299942,1315029,1336073,1371853,1425793,1494077,1569440,1641164,1701583
13,bgd,Bangladesh,79639498,81767516,83932132,86142490,88416529,90764180,93187593,95671159,98186350,100695496,103171957,105599125,107983708,110350641,112737684,115169933,117649927,120160571,122682818,125189655,127657862,130088709,132478077,134791598,136986429,139035505,140921154,142660381,144304164,145924795,147575433,149273134,151005733,152761413,154517385,156256287,157977151,159685421,161376713,163046173,164689383
14,brb,Barbados,252388,253296,254078,254791,255493,256260,257117,258012,258970,259961,260933,261912,262890,263869,264893,265955,267047,268183,269334,270455,271511,272494,273423,274331,275283,276320,277475,278701,279946,281107,282131,282987,283698,284294,284825,285327,285798,286229,286640,287021,287371
15,blr,Belarus,9569847,9636152,9703088,9770125,9836582,9901493,9965178,10026470,10081209,10124000,10151135,10160785,10154338,10135133,10108280,10077606,10044854,10009393,9969986,9924440,9871635,9811399,9745932,9679235,9616628,9562083,9516884,9480514,9452855,9433159,9420576,9415316,9417045,9423502,9431742,9439424,9445638,9450233,9452615,9452409,9449321
16,bel,Belgium,9868999,9880594,9889819,9897877,9906370,9916577,9928539,9942281,9959011,9980175,10006545,10039450,10078098,10118684,10155909,10186304,10208265,10223785,10237298,10255161,10282046,10319026,10364879,10419029,10480118,10546885,10619484,10697576,10778764,10859934,10938735,11013860,11085355,11154008,11221225,11287931,11354407,11419752,11482180,11539326,11589616
17,blz,Belize,144142,147572,151486,155820,160341,164918,169569,174333,179023,183471,187554,191136,194324,197625,201679,206962,213660,221575,230248,238979,247310,255068,262387,269428,276516,283798,291338,299031,306822,314655,322465,330236,338001,345707,353366,360926,368399,375775,383071,390351,397621
18,ben,Benin,3717161,3820126,3927717,4039940,4156819,4278502,4404504,4535262,4672844,4820020,4978489,5149496,5331805,5521761,5714215,5905552,6094272,6281644,6470275,6664102,6865946,7076728,7295400,7520556,7750003,7982223,8216893,8454790,8696915,8944713,9199254,9460829,9729254,10004594,10286839,10575962,10872072,11175192,11485035,11801151,12123198
19,btn,Bhutan,406883,418107,428938,439823,451471,464264,478683,494313,509532,522173,530801,534637,534525,532590,531905,534629,541471,551713,564378,577886,591014,603643,616025,627840,638809,648744,657404,664873,671611,678329,685502,693297,701582,710235,719053,727885,736706,745563,754396,763094,771612
20,bol,Bolivia,5579932,5697098,5814344,5932812,6054126,6179460,6309129,6442824,6580318,6721117,6864839,7011456,7160917,7312857,7466792,7622334,7779268,7937453,8096761,8257066,8418270,8580244,8742822,8905820,9069044,9232301,9395449,9558438,9721457,9884790,10048597,10212951,10377677,10542375,10706517,10869732,11031822,11192853,11353140,11513102,11673029
