,sex,year,mean_age,median_age
0,F,1900,29.0,29.0
1,M,1900,28.420131291028447,26.0
2,F,1904,54.333333333333336,55.0
3,M,1904,25.878934624697337,24.0
4,F,1906,23.5,23.5
5,M,1906,26.95409836065574,25.0
6,F,1908,30.333333333333332,26.0
7,M,1908,27.688,26.0
8,F,1912,22.7,22.0
9,M,1912,27.66592920353982,26.0
10,F,1920,23.363636363636363,21.5
11,M,1920,29.914462081128747,28.0
12,F,1924,22.14,20.0
13,M,1924,28.512338425381902,26.0
14,F,1928,21.122448979591837,19.0
15,M,1928,27.02279202279202,25.0
16,F,1932,20.720588235294116,20.0
17,M,1932,26.889226100151745,25.0
18,F,1936,21.329896907216494,21.0
19,M,1936,26.473570658036678,25.0
20,F,1948,24.495652173913044,23.0
21,M,1948,28.614485981308412,27.0
22,F,1952,24.373417721518987,23.0
23,M,1952,27.215102974828376,26.0
24,F,1956,23.00588235294118,22.0
25,M,1956,26.263953488372092,25.0
26,F,1960,22.68717948717949,22.0
27,M,1960,25.617441860465117,24.0
28,F,1964,22.69918699186992,22.0
29,M,1964,25.890382626680456,25.0
30,F,1968,22.17624521072797,21.0
31,M,1968,25.706948640483382,25.0
32,F,1972,22.47457627118644,21.0
33,M,1972,25.506261180679786,25.0
34,F,1976,22.456818181818182,22.0
35,M,1976,25.164986251145738,25.0
36,F,1980,22.637113402061857,22.0
37,M,1980,25.028648164726945,24.0
38,F,1984,23.00729927007299,23.0
39,M,1984,24.851174934725847,24.0
40,F,1988,23.19448946515397,23.0
41,M,1988,25.155537459283387,24.0
42,F,1992,23.775687409551374,24.0
43,M,1992,25.129200896191186,24.0
44,F,1994,24.89814814814815,25.0
45,M,1994,25.417040358744394,25.0
46,F,1996,24.784031413612567,25.0
47,M,1996,25.893320964749535,25.0
48,F,1998,25.349206349206348,25.0
49,M,1998,26.577689243027887,26.0
50,F,2000,25.6,25.0
51,M,2000,26.509786476868328,26.0
52,F,2002,25.884615384615383,25.5
53,M,2002,27.79259259259259,28.0
54,F,2004,25.57683741648107,25.0
55,M,2004,26.630099728014507,26.0
56,F,2006,26.549783549783548,26.0
57,M,2006,27.955932203389832,28.0
58,F,2008,25.53540772532189,25.0
59,M,2008,26.474014336917563,26.0
60,F,2010,26.074235807860262,25.0
61,M,2010,27.233676975945016,27.0
62,F,2012,25.58061002178649,25.0
63,M,2012,26.502443792766375,26.0
64,F,2014,25.61509433962264,25.0
65,M,2014,27.466867469879517,27.0
66,F,2016,25.8297213622291,25.0
67,M,2016,26.780834914611006,26.0
