,year,medal,mean_age,median_age
0,1900,Gold,28.178770949720672,26.0
1,1900,Silver,28.38993710691824,26.0
2,1900,Bronze,28.838461538461537,26.0
3,1904,Gold,26.5,24.0
4,1904,Silver,26.71851851851852,23.0
5,1904,Bronze,26.22047244094488,24.0
6,1906,Gold,26.73015873015873,24.0
7,1906,Silver,27.1734693877551,25.0
8,1906,Bronze,26.951807228915662,24.0
9,1908,Gold,28.428070175438595,26.0
10,1908,Silver,27.4238683127572,26.0
11,1908,Bronze,27.236286919831223,25.0
12,1912,Gold,27.372307692307693,26.0
13,1912,Silver,27.955128205128204,26.0
14,1912,Bronze,27.181818181818183,25.0
15,1920,Gold,29.475374732334046,28.0
16,1920,Silver,29.7075,28.0
17,1920,Bronze,29.913183279742764,29.0
18,1924,Gold,27.930817610062892,26.0
19,1924,Silver,28.86084142394822,27.0
20,1924,Bronze,27.631386861313867,25.5
21,1928,Gold,25.985294117647058,24.0
22,1928,Silver,26.509727626459146,24.0
23,1928,Bronze,26.416974169741696,25.0
24,1932,Gold,26.4609375,24.0
25,1932,Silver,26.56611570247934,25.0
26,1932,Bronze,25.87772925764192,24.0
27,1936,Gold,25.907780979827088,25.0
28,1936,Silver,26.034582132564843,25.0
29,1936,Bronze,26.01818181818182,25.0
30,1948,Gold,27.789473684210527,27.0
31,1948,Silver,28.26605504587156,27.0
32,1948,Bronze,28.32398753894081,27.0
33,1952,Gold,26.46,25.0
34,1952,Silver,27.04776119402985,26.0
35,1952,Bronze,26.844380403458214,25.0
36,1956,Gold,26.322857142857142,25.0
37,1956,Silver,25.13946587537092,24.0
38,1956,Bronze,25.693877551020407,25.0
39,1960,Gold,24.823529411764707,23.0
40,1960,Silver,25.14327485380117,24.0
41,1960,Bronze,25.264044943820224,24.0
42,1964,Gold,25.07598039215686,25.0
43,1964,Silver,25.530864197530864,25.0
44,1964,Bronze,25.1225,25.0
45,1968,Gold,24.701176470588237,24.0
46,1968,Silver,25.05392156862745,25.0
47,1968,Bronze,25.16627078384798,25.0
48,1972,Gold,25.09282700421941,24.0
49,1972,Silver,24.604395604395606,24.0
50,1972,Bronze,24.91115702479339,25.0
51,1976,Gold,24.125984251968504,24.0
52,1976,Silver,24.44950495049505,24.0
53,1976,Bronze,24.58108108108108,24.0
54,1980,Gold,24.2117202268431,24.0
55,1980,Silver,24.354048964218457,24.0
56,1980,Bronze,24.346863468634687,24.0
57,1984,Gold,24.267950963222418,24.0
58,1984,Silver,24.159709618874775,24.0
59,1984,Bronze,24.335652173913044,24.0
60,1988,Gold,24.337726523887973,24.0
61,1988,Silver,24.459234608985025,24.0
62,1988,Bronze,24.692307692307693,24.0
63,1992,Gold,24.429864253393664,24.0
64,1992,Silver,24.729071537290714,24.0
65,1992,Bronze,24.835211267605633,24.0
66,1994,Gold,25.37272727272727,25.0
67,1994,Silver,25.458715596330276,25.0
68,1994,Bronze,24.919642857142858,24.0
69,1996,Gold,25.61019736842105,25.0
70,1996,Silver,25.50578512396694,25.0
71,1996,Bronze,25.19236883942766,25.0
72,1998,Gold,25.917241379310344,26.0
73,1998,Silver,26.020689655172415,26.0
74,1998,Bronze,26.206666666666667,26.0
75,2000,Gold,26.104072398190045,26.0
76,2000,Silver,26.02874432677761,26.0
77,2000,Bronze,26.195588235294117,26.0
78,2002,Gold,26.82716049382716,27.0
79,2002,Silver,27.388535031847134,27.0
80,2002,Bronze,26.67924528301887,26.0
81,2004,Gold,25.97289156626506,25.0
82,2004,Silver,26.277272727272727,26.0
83,2004,Bronze,26.221565731166912,26.0
84,2006,Gold,27.443181818181817,28.0
85,2006,Silver,26.822857142857142,27.0
86,2006,Bronze,27.748571428571427,28.0
87,2008,Gold,25.907600596125185,25.0
88,2008,Silver,26.332833583208394,26.0
89,2008,Bronze,25.909859154929578,25.0
90,2010,Gold,26.78735632183908,26.0
91,2010,Silver,26.65142857142857,26.0
92,2010,Bronze,26.730994152046783,27.0
93,2012,Gold,26.001582278481013,26.0
94,2012,Silver,26.074603174603176,25.0
95,2012,Bronze,26.119293078055964,26.0
96,2014,Gold,26.742574257425744,26.0
97,2014,Silver,26.558375634517766,26.0
98,2014,Bronze,26.63131313131313,27.0
99,2016,Gold,26.51578947368421,26.0
100,2016,Silver,26.39083969465649,26.0
101,2016,Bronze,26.083926031294453,26.0
