Sport,Age
Basketball,24
Judo,23
Football,24
Tug-Of-War,34
Speed Skating,21
Speed Skating,21
Speed Skating,25
Speed Skating,25
Speed Skating,27
Speed Skating,27
Cross Country Skiing,31
Cross Country Skiing,31
Cross Country Skiing,31
Cross Country Skiing,31
Cross Country Skiing,33
Cross Country Skiing,33
Cross Country Skiing,33
Cross Country Skiing,33
Cross Country Skiing,31
Cross Country Skiing,31
Cross Country Skiing,31
Cross Country Skiing,31
Cross Country Skiing,33
Cross Country Skiing,33
Cross Country Skiing,33
Cross Country Skiing,33
Athletics,18
Athletics,18
Ice Hockey,26
Swimming,26
Cross Country Skiing,22
Badminton,31
Sailing,30
Sailing,34
Biathlon,32
Swimming,22
Swimming,22
Swimming,30
Swimming,30
Swimming,34
Ice Hockey,28
Gymnastics,28
Gymnastics,28
Gymnastics,28
Gymnastics,28
Gymnastics,28
Gymnastics,28
Gymnastics,28
Gymnastics,28
Gymnastics,32
Gymnastics,32
Gymnastics,32
Gymnastics,32
Gymnastics,32
Gymnastics,32
Gymnastics,32
Gymnastics,32
Athletics,31
Art Competitions,54
Alpine Skiing,20
Alpine Skiing,20
Alpine Skiing,20
Alpine Skiing,20
Alpine Skiing,22
Alpine Skiing,22
Alpine Skiing,22
Alpine Skiing,22
Alpine Skiing,22
Alpine Skiing,26
Alpine Skiing,26
Alpine Skiing,26
Alpine Skiing,26
Alpine Skiing,30
Alpine Skiing,30
Alpine Skiing,30
Alpine Skiing,30
Alpine Skiing,30
Alpine Skiing,34
Alpine Skiing,34
Handball,27
Weightlifting,22
Wrestling,22
Wrestling,26
Speed Skating,24
Speed Skating,24
Speed Skating,27
Gymnastics,24
Luge,17
Water Polo,26
Sailing,43
Sailing,47
Hockey,22
Rowing,26
Rowing,30
Athletics,24
Athletics,23
Sailing,24
Sailing,28
Athletics,30
Bobsleigh,24
Swimming,21
Swimming,21
Swimming,21
Swimming,25
Swimming,25
Football,23
Gymnastics,20
Fencing,33
Fencing,33
Fencing,33
Speed Skating,23
Speed Skating,27
Speed Skating,27
Speed Skating,31
Speed Skating,31
Speed Skating,31
Football,28
Sailing,25
Equestrianism,34
Cross Country Skiing,25
Cross Country Skiing,25
Cross Country Skiing,29
Cross Country Skiing,29
Cross Country Skiing,29
Shooting,41
Shooting,33
Shooting,45
Shooting,49
Shooting,53
Shooting,57
Athletics,22
Athletics,22
Athletics,26
Athletics,30
Boxing,24
Athletics,24
Athletics,28
Wrestling,22
Wrestling,26
Gymnastics,23
Gymnastics,23
Gymnastics,23
Gymnastics,23
Gymnastics,23
Gymnastics,23
Athletics,22
Taekwondo,24
Boxing,NA
Athletics,26
Cycling,21
Cycling,21
Boxing,24
Cycling,NA
Cycling,NA
Weightlifting,24
Weightlifting,28
Weightlifting,24
Football,26
Rowing,21
Fencing,30
Judo,31
Taekwondo,21
Boxing,NA
Athletics,22
Athletics,26
Swimming,23
Swimming,23
Basketball,19
Diving,26
Canoeing,27
Canoeing,27
Canoeing,24
Canoeing,28
Handball,23
Handball,27
Handball,31
Rowing,30
Fencing,22
Football,22
Boxing,27
Judo,26
Boxing,23
Water Polo,22
Football,22
Tennis,26
Shooting,22
Wrestling,26
Sailing,24
Sailing,28
Sailing,32
Athletics,22
Athletics,26
Wrestling,29
Athletics,25
Rowing,21
Cycling,21
Cycling,21
Athletics,27
Football,21
Handball,34
Handball,38
Shooting,38
Athletics,35
Athletics,18
Athletics,16
Fencing,30
Fencing,30
Fencing,30
Fencing,30
Swimming,22
Swimming,22
Boxing,25
Football,NA
Football,NA
Modern Pentathlon,25
Athletics,26
Boxing,19
Boxing,23
Rowing,22
Rowing,29
Rowing,34
Rowing,22
Rowing,26
Rowing,30
Rowing,34
Rowing,20
Rowing,25
Rowing,29
Rowing,33
Athletics,23
Athletics,23
Athletics,27
Athletics,20
Athletics,22
Weightlifting,21
Football,22
Athletics,20
Athletics,24
Weightlifting,28
Weightlifting,32
Athletics,22
Athletics,22
Cycling,22
Diving,19
Swimming,26
Alpine Skiing,23
Weightlifting,28
Hockey,25
Hockey,29
Hockey,37
Basketball,31
Hockey,28
Alpine Skiing,20
Hockey,20
Hockey,24
Hockey,28
Rowing,28
Athletics,22
Swimming,18
Weightlifting,33
Water Polo,28
Gymnastics,NA
Football,23
Handball,23
Basketball,29
Figure Skating,15
Figure Skating,19
Weightlifting,24
Football,NA
Sailing,42
Sailing,46
Equestrianism,30
Equestrianism,30
Athletics,26
Hockey,21
Hockey,23
Figure Skating,24
Figure Skating,28
Figure Skating,28
Canoeing,19
Sailing,41
Sailing,21
Cycling,30
Golf,23
Golf,42
Sailing,34
Softball,23
Archery,40
Wrestling,22
Wrestling,26
Wrestling,34
Volleyball,23
Handball,22
Handball,26
Taekwondo,21
Synchronized Swimming,15
Synchronized Swimming,15
Synchronized Swimming,19
Athletics,25
Volleyball,28
Handball,25
Handball,29
Gymnastics,NA
Gymnastics,NA
Gymnastics,NA
Gymnastics,NA
Gymnastics,NA
Gymnastics,NA
Gymnastics,NA
Gymnastics,NA
Fencing,22
Taekwondo,20
Athletics,21
Athletics,29
Athletics,NA
Athletics,23
Athletics,19
Diving,18
Volleyball,25
Shooting,32
Football,NA
Football,19
Athletics,31
Athletics,NA
Cycling,23
Boxing,23
Boxing,32
Athletics,NA
Athletics,NA
Synchronized Swimming,18
Synchronized Swimming,22
Synchronized Swimming,18
Hockey,29
Rowing,NA
Water Polo,30
Fencing,31
Fencing,31
Fencing,31
Fencing,35
Fencing,35
Water Polo,NA
Weightlifting,32
Volleyball,24
Boxing,NA
Wrestling,NA
Football,20
Basketball,25
Water Polo,21
Swimming,21
Swimming,21
Water Polo,25
Swimming,25
Water Polo,33
Athletics,NA
Weightlifting,24
Weightlifting,32
Handball,24
Wrestling,28
Handball,29
Basketball,23
Basketball,27
Handball,24
Water Polo,25
Basketball,19
Basketball,23
Volleyball,23
Volleyball,31
Athletics,21
Rowing,24
Water Polo,18
Water Polo,22
Fencing,21
Fencing,33
Fencing,33
Fencing,37
Fencing,37
Fencing,37
Fencing,37
Boxing,20
Water Polo,NA
Volleyball,27
Fencing,16
Fencing,21
Fencing,21
Wrestling,30
Shooting,28
Shooting,36
Shooting,36
Football,21
Fencing,21
Rowing,26
Boxing,22
Boxing,27
Rowing,28
Rowing,NA
Handball,24
Boxing,22
Gymnastics,19
Gymnastics,19
Gymnastics,19
Gymnastics,19
Gymnastics,19
Gymnastics,19
Gymnastics,19
Gymnastics,19
Wrestling,NA
Shooting,23
Shooting,27
Shooting,35
Football,NA
Volleyball,27
Boxing,24
Judo,26
Gymnastics,NA
Gymnastics,NA
Gymnastics,NA
Gymnastics,NA
Gymnastics,NA
Gymnastics,NA
Gymnastics,NA
Gymnastics,NA
Shooting,41
Weightlifting,24
Weightlifting,28
Synchronized Swimming,17
Athletics,21
Football,25
Weightlifting,21
Weightlifting,25
Athletics,20
Shooting,36
Shooting,40
Football,23
Synchronized Swimming,19
Wrestling,23
Judo,20
Athletics,23
Gymnastics,22
Gymnastics,22
Gymnastics,22
Gymnastics,22
Gymnastics,22
Handball,21
Volleyball,26
Athletics,24
Athletics,19
Athletics,23
Volleyball,22
Volleyball,26
Wrestling,22
Wrestling,26
Athletics,27
Athletics,27
Athletics,30
Athletics,34
