,Country,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016,2020
0,Afghanistan,11,0,5,0,2,0,5,4,6,3,5
1,Albania,0,0,0,7,7,4,7,11,9,6,8
2,Algeria,54,33,42,35,45,47,61,56,38,64,41
3,Andorra,2,2,3,8,8,5,6,5,6,4,2
4,Angola,11,0,24,28,28,30,30,32,33,26,20
5,Antigua and Barbuda,0,14,15,13,13,3,5,5,4,8,6
6,Argentina,0,81,118,84,179,139,150,132,137,213,180
7,Armenia,0,0,0,0,32,25,18,25,24,31,16
8,Australia,120,242,252,279,411,602,460,429,398,414,470
9,Austria,83,102,73,102,70,92,70,66,70,67,72
10,Azerbaijan,0,0,0,0,23,31,36,44,52,56,41
11,Bahamas,0,22,16,14,26,25,22,25,21,29,16
12,Bahrain,0,10,7,10,5,4,10,14,12,33,30
13,Bangladesh,0,1,6,6,4,5,4,5,5,7,6
14,Barbados,0,16,17,17,13,18,10,8,6,11,7
15,Belarus,0,0,0,0,157,139,151,175,160,120,104
16,Belgium,59,63,59,68,61,68,50,94,111,104,124
17,Belize,0,11,10,10,5,2,2,4,3,3,3
18,Benin,16,3,7,6,5,4,4,5,5,6,7
19,Bhutan,0,6,3,6,2,2,2,2,2,2,3
20,Bolivia,0,11,7,13,8,5,7,7,5,12,5
21,Bosnia and Herzegovina,0,0,0,10,9,9,9,5,6,11,7
22,Botswana,7,7,8,6,7,7,11,11,4,12,13
23,Brazil,106,147,160,182,213,190,235,260,237,452,291
24,Brunei,0,0,0,0,1,2,1,0,3,3,2
25,Bulgaria,270,0,172,136,110,91,95,70,63,51,41
26,Burkina Faso,0,0,6,4,5,4,5,6,5,5,7
27,Burundi,0,0,0,0,7,6,7,3,6,9,6
28,Cambodia,0,0,0,0,5,4,4,4,6,6,3
29,Cameroon,25,46,15,8,15,34,17,32,32,22,11
30,Canada,0,408,328,294,298,287,256,332,273,302,368
31,Cape Verde,0,0,0,0,3,2,3,2,3,5,6
32,Central African Republic,0,3,15,15,5,3,4,3,6,6,2
33,Chad,0,3,6,6,4,2,1,2,2,2,3
34,Chile,0,52,17,12,21,50,22,26,35,42,56
35,China,0,215,270,233,276,251,351,566,353,378,398
36,Colombia,23,39,40,49,48,44,53,67,101,143,64
37,Comoros,0,0,0,0,4,2,3,3,3,4,3
38,"Congo, Dem. Rep.",0,0,0,0,0,0,0,0,0,0,0
39,"Congo, Rep.",0,0,0,0,0,0,0,0,0,0,0
40,Costa Rica,29,28,16,16,11,7,20,8,11,11,13
41,Cote d'Ivoire,0,15,28,13,11,14,5,21,9,12,0
42,Croatia,0,0,0,39,84,88,81,99,107,85,57
43,Cuba,208,0,0,176,164,229,151,154,109,117,69
44,Cyprus,14,10,9,17,17,22,20,17,13,15,14
45,Czech Republic,0,0,0,0,111,111,136,131,126,103,117
46,Denmark,58,60,78,102,112,89,84,80,110,119,103
47,Djibouti,0,3,6,8,5,2,0,2,4,7,4
48,Dominica,0,0,0,0,6,4,2,2,2,2,2
49,Dominican Republic,6,19,16,32,16,13,33,24,33,26,61
50,Ecuador,12,11,13,13,19,10,16,25,36,37,46
51,Egypt,0,113,49,75,29,89,96,100,109,121,133
52,El Salvador,0,10,6,4,8,8,7,11,10,8,5
53,Equatorial Guinea,0,4,6,7,5,4,2,3,2,1,3
54,Eritrea,0,0,0,0,0,3,4,10,12,12,13
55,Estonia,0,0,0,37,43,33,42,47,32,46,33
56,Ethiopia,41,0,0,20,18,26,26,27,33,37,42
57,Fiji,0,14,23,18,17,7,8,6,9,53,28
58,Finland,105,86,78,88,76,70,53,57,56,54,45
59,France,121,238,266,331,293,335,307,308,323,390,377
60,Gabon,0,4,2,5,7,5,5,4,21,6,5
61,Gambia,0,10,6,5,9,2,2,3,2,4,3
62,Georgia,0,0,0,0,34,36,32,35,34,40,35
63,Germany,0,0,0,456,459,408,427,412,373,412,399
64,Ghana,0,21,16,34,35,22,26,9,7,13,14
65,Greece,41,63,56,70,121,140,422,148,102,92,75
66,Grenada,0,6,6,4,5,3,5,9,8,6,6
67,Guatemala,10,24,28,14,26,15,18,12,19,21,22
68,Guinea,9,1,6,8,5,6,3,5,4,5,5
69,Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,4
70,Guyana,8,10,8,6,7,4,4,4,6,6,7
71,Haiti,0,3,4,7,7,5,8,7,5,10,6
72,Holy See,0,0,0,0,0,0,0,0,0,0,0
73,Honduras,0,10,8,10,7,20,5,25,25,23,24
74,"Hong Kong, China",0,0,0,0,0,0,0,0,0,0,40
75,Hungary,260,0,188,215,212,178,206,170,151,153,154
76,Iceland,9,30,32,27,9,18,26,27,27,8,4
77,India,71,47,46,52,49,65,73,53,79,112,117
78,Indonesia,0,16,29,34,28,35,30,16,22,24,26
79,Iran,0,0,23,36,18,33,37,54,52,63,66
80,Iraq,43,23,27,8,3,4,24,4,8,20,4
81,Ireland,47,42,61,58,78,64,46,55,64,76,116
82,Israel,0,32,18,30,25,39,36,43,37,47,85
83,Italy,159,268,253,304,340,357,363,332,280,305,354
84,Jamaica,18,44,35,36,45,48,47,50,45,56,60
85,Japan,0,226,254,247,296,255,300,324,287,335,585
86,Jordan,4,13,7,4,5,8,8,7,9,8,11
87,Kazakhstan,0,0,0,0,96,130,114,130,113,101,92
88,Kenya,0,61,74,49,52,56,46,46,47,79,78
89,Kiribati,0,0,0,0,0,0,3,2,3,3,3
90,Kuwait,56,23,25,31,25,29,11,8,10,0,10
91,Kyrgyz Republic,0,0,0,0,33,48,29,20,14,19,16
92,Lao,19,0,3,6,5,3,5,4,3,5,4
93,Latvia,0,0,0,34,47,45,32,47,41,32,29
94,Lebanon,15,22,21,12,1,6,5,6,10,9,6
95,Lesotho,5,4,6,6,9,6,3,5,4,8,2
96,Liberia,0,7,8,0,5,8,2,3,3,2,3
97,Libya,29,0,6,5,5,3,8,6,4,7,4
98,Liechtenstein,0,7,12,7,2,2,1,2,3,3,5
99,Lithuania,0,0,0,47,61,61,59,71,62,67,37
100,Luxembourg,3,5,8,6,6,7,10,13,9,10,11
101,"Macedonia, FYR",0,0,0,0,0,0,0,0,0,0,0
102,Madagascar,11,5,0,13,11,11,8,6,7,6,6
103,Malawi,0,15,16,4,2,2,4,4,3,5,5
104,Malaysia,0,21,9,22,31,36,22,28,29,32,29
105,Maldives,0,0,7,7,6,4,4,4,5,4,4
106,Mali,7,4,5,5,3,5,21,17,6,6,4
107,Malta,8,7,6,6,7,7,7,6,5,7,6
108,Marshall Islands,0,0,0,0,0,0,0,5,4,5,2
109,Mauritania,0,2,6,6,4,2,2,2,2,2,2
110,Mauritius,0,4,8,13,26,20,9,11,11,11,7
111,Mexico,45,99,83,102,98,78,109,83,99,123,155
112,"Micronesia, Fed. Sts.",0,0,0,0,0,0,0,0,0,0,0
113,Moldova,0,0,0,0,40,34,33,29,20,23,19
114,Monaco,0,8,9,2,3,4,3,5,6,3,6
115,Mongolia,43,0,28,33,16,20,20,28,29,43,43
116,Montenegro,0,0,0,0,0,0,0,19,33,35,35
117,Morocco,0,34,27,44,34,55,55,47,63,48,48
118,Mozambique,14,9,8,6,3,4,4,4,6,6,8
