,geo,Country Name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,afg,Afghanistan,15653945098.0,17331019723.0,18817478684.0,19424217479.0,18767285003.0,17904967666.0,18141904367.0,16163259739.0,14712143219.0,13637410860.0,13747884967.0,13478338599.0,14059504299.0,10522051531.0,8414156434.0,13184209529.0,13014448446.0,12703639238.0,12373212097.0,12032672220.0,12006809751.0,12169294612.0,26890059140.0,29265058686.0,29678907144.0,33011753248.0,34780341898.0,39589178391.0,41143045550.0,49943739075.0,57116901271.0,57360410246.0,64675182879.0,68297476697.0,70158285568.0,71176481719.0,72785088139.0,74711328032.0,75599474434.0,78557612842.0,74652032324.0
1,alb,Albania,11982474502.0,12316276544.0,12649171673.0,12995316610.0,13363631884.0,13761612451.0,14220817891.0,14714936627.0,15201313155.0,15610402391.0,15913565002.0,11506801602.0,10631722189.0,11536321084.0,12379584047.0,13965046028.0,15260800790.0,13684239733.0,15039540201.0,17151911309.0,18499964968.0,20225460043.0,21183349781.0,22379984186.0,23612208279.0,24899930188.0,26331434676.0,27851270350.0,29859380226.0,30761682527.0,31791002830.0,32472585021.0,32823887822.0,33096145073.0,33666286430.0,34444704695.0,35592900090.0,36951279400.0,38531509665.0,39537819381.0,38173625553.0
2,dza,Algeria,169877707740.0,175139041675.0,186523531289.0,196780820166.0,207995989824.0,215894475563.0,216961401646.0,215644718215.0,213688271462.0,223299299759.0,225296184841.0,222592510634.0,226599308901.0,221840704921.0,219844153692.0,228198219618.0,237554399519.0,240167423781.0,252415929136.0,260493277296.0,270392047964.0,278503773633.0,294100003540.0,315275213441.0,328831926651.0,348233074822.0,354153132465.0,366194327413.0,374982904184.0,380982685312.0,394698006929.0,406144227816.0,419953335094.0,431711923857.0,448116953229.0,464697210075.0,479567510196.0,485801678010.0,491631420234.0,495564635891.0,465890055133.0
3,and,Andorra,1292447692.0,1291051764.0,1307890929.0,1331141377.0,1355722538.0,1387457324.0,1433422647.0,1513323665.0,1590983193.0,1668339376.0,1731784375.0,1775765047.0,1791818866.0,1773197368.0,1815405887.0,1866550221.0,1955874900.0,2137805425.0,2210053774.0,2298583418.0,2314754965.0,2393863708.0,2495621015.0,2822713775.0,3097138225.0,3508438625.0,3870149546.0,4015837464.0,3884035595.0,3941050313.0,3680778500.0,3928661088.0,3863743309.0,3949431231.0,3979130866.0,4061550007.0,4164162034.0,4284294684.0,4433511256.0,4595479295.0,4759876000.0
4,ago,Angola,14697685144.0,14618654274.0,14148515155.0,13744598347.0,13922619407.0,14230651458.0,13127942313.0,14888406215.0,17312788113.0,17917720860.0,18860456560.0,20246750517.0,20225784605.0,16248642608.0,17408375189.0,21158212210.0,25407505128.0,28860956480.0,31995994982.0,34663160161.0,37971873049.0,42147413633.0,50832023487.0,56523461362.0,66111616664.0,82897278740.0,112068651521.0,144686754699.0,169685292667.0,174376793712.0,179666402913.0,185904362286.0,201784621860.0,211782230491.0,221995598086.0,224090327286.0,218308678286.0,217987468305.0,213619829473.0,212285319773.0,204383496564.0
5,atg,Antigua and Barbuda,489575137.0,518958778.0,526359120.0,567915230.0,616362338.0,670637835.0,734145151.0,805707966.0,874876420.0,929691927.0,966732145.0,987632502.0,998951080.0,1051890274.0,1122071815.0,1073233278.0,1144130128.0,1206731348.0,1263684148.0,1310626222.0,1391765219.0,1328624993.0,1342327275.0,1424037328.0,1506159274.0,1603386885.0,1807454592.0,1975633688.0,1975210453.0,1738922957.0,1602672892.0,1571194226.0,1624207169.0,1614377557.0,1675764799.0,1739960690.0,1835386035.0,1893239264.0,2033071289.0,2127807615.0,1748924383.0
6,arg,Argentina,475451369452.0,450346558791.0,438435212106.0,456866502618.0,469418257637.0,441539820030.0,476822758246.0,492098873150.0,485755184012.0,458338349157.0,461383024791.0,503521723332.0,543487580447.0,588091459176.0,622413749358.0,604704791550.0,638125022603.0,689883776623.0,716445196129.0,692190405344.0,686729198017.0,656452107500.0,584935064640.0,636626082871.0,694110702058.0,755550924146.0,816351357047.0,889885661895.0,925990187778.0,871185205006.0,961920008335.0,1018452291525.0,1007087847526.0,1030601691971.0,1004117537122.0,1030962122367.0,1008940604129.0,1036789937095.0,1009633093419.0,988036530933.0,889026710189.0
7,arm,Armenia,21327569827.0,21643685905.0,21915810311.0,21696443928.0,22031306668.0,22320439320.0,21778209924.0,20179370384.0,18798612539.0,20703224478.0,18327869804.0,16183499781.0,9418828819.0,8589972174.0,9053814562.0,9678539474.0,10246195544.0,10586479565.0,11359336192.0,11734171591.0,12426520050.0,13619434889.0,15417195185.0,17575649039.0,19421021216.0,22120528085.0,25040445800.0,28471015495.0,30435515296.0,26144152719.0,26719259145.0,27975093487.0,29989425046.0,30979064886.0,32094211537.0,33121294234.0,33187480061.0,35676286614.0,37531263395.0,40384077297.0,37393109840.0
8,aus,Australia,382764102447.0,394264307264.0,392742458457.0,393483977026.0,422340820963.0,445171085942.0,455657407815.0,478862031874.0,500351482731.0,521548744022.0,528401755299.0,526639006397.0,528903976600.0,551155875127.0,573370836082.0,594656366725.0,616305490216.0,640518099998.0,670091536642.0,703624330613.0,730448826282.0,742442210390.0,770996735446.0,793286579444.0,826566164410.0,854524460691.0,880457845252.0,925876359432.0,959409772999.0,976840569860.0,999872797418.0,1027841009579.0,1066670771273.0,1092051835857.0,1119337723054.0,1143594803594.0,1173030008598.0,1195627051008.0,1227584787771.0,1250377543268.0,1225472973067.0
9,aut,Austria,219171431624.0,219717128127.0,224926512882.0,233350891235.0,235639827477.0,242438023451.0,249687880128.0,255515254530.0,265113519530.0,277942072620.0,290114793830.0,298993166069.0,304173806805.0,305633240476.0,313950407354.0,323570641636.0,331874366576.0,339072807798.0,351188576790.0,363425306480.0,375636577221.0,380280561328.0,386404838594.0,390125272737.0,400312049766.0,408339305177.0,421972356971.0,437779255746.0,444264709214.0,428013057103.0,436765975470.0,450339363301.0,453942837431.0,454255155135.0,456828547441.0,459680372886.0,467450906289.0,479299474506.0,493242386848.0,501751233730.0,469133360167.0
10,aze,Azerbaijan,47722780376.0,50529556906.0,53510215405.0,55443169453.0,58627694348.0,60820712000.0,62405473801.0,65686433467.0,69049844572.0,63173052551.0,56190432210.0,55811333703.0,43207523387.0,33206672905.0,26660688060.0,23522924466.0,23832430577.0,25195519421.0,27675761665.0,29700886457.0,33006535828.0,36324590321.0,39841687015.0,44021611314.0,48175027156.0,61666149451.0,82893448995.0,103949238773.0,113829915897.0,123353634921.0,129279468670.0,127181229507.0,129927749771.0,137522472159.0,141403467982.0,142935334085.0,138629386144.0,139029713645.0,141379432521.0,144725842028.0,138120194248.0
