,geo,Country Name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,afg,Afghanistan,1172.0,1316.0,1461.0,1549.0,1538.0,1500.0,1546.0,1393.0,1266.0,1149.0,1108.0,1013.0,971.0,665.0,493.0,728.0,690.0,656.0,627.0,597.0,578.0,563.0,1190.0,1236.0,1200.0,1287.0,1316.0,1461.0,1484.0,1759.0,1957.0,1905.0,2075.0,2116.0,2102.0,2068.0,2057.0,2058.0,2034.0,2065.0,1918.0
1,alb,Albania,4467.0,4500.0,4533.0,4568.0,4602.0,4634.0,4671.0,4709.0,4749.0,4792.0,4843.0,3508.0,3275.0,3611.0,3934.0,4486.0,4925.0,4415.0,4835.0,5493.0,5912.0,6462.0,6776.0,7178.0,7605.0,8067.0,8597.0,9180.0,9944.0,10347.0,10784.0,11088.0,11264.0,11398.0,11624.0,11916.0,12331.0,12812.0,13366.0,13724.0,13265.0
2,dza,Algeria,8838.0,8835.0,9120.0,9325.0,9557.0,9625.0,9391.0,9071.0,8742.0,8894.0,8746.0,8431.0,8384.0,8027.0,7792.0,7935.0,8117.0,8075.0,8360.0,8506.0,8710.0,8855.0,9232.0,9772.0,10058.0,10505.0,10527.0,10718.0,10797.0,10782.0,10971.0,11078.0,11234.0,11319.0,11513.0,11697.0,11826.0,11737.0,11642.0,11511.0,10624.0
3,and,Andorra,35839.0,34430.0,33437.0,32583.0,31745.0,31114.0,30813.0,31229.0,31546.0,31807.0,31771.0,31337.0,30431.0,29081.0,28965.0,29229.0,30388.0,33238.0,34457.0,35710.0,35399.0,35547.0,35627.0,38572.0,40618.0,44483.0,47783.0,48570.0,46316.0,46661.0,43583.0,46911.0,46875.0,48897.0,50233.0,52076.0,53874.0,55642.0,57572.0,59569.0,61605.0
4,ago,Angola,1762.0,1692.0,1580.0,1481.0,1448.0,1428.0,1272.0,1393.0,1564.0,1564.0,1592.0,1653.0,1598.0,1243.0,1289.0,1517.0,1764.0,1941.0,2083.0,2185.0,2316.0,2487.0,2901.0,3119.0,3524.0,4266.0,5562.0,6921.0,7821.0,7745.0,7692.0,7675.0,8037.0,8141.0,8240.0,8036.0,7569.0,7311.0,6934.0,6670.0,6219.0
5,atg,Antigua and Barbuda,7914.0,8399.0,8520.0,9193.0,9976.0,10854.0,11888.0,13056.0,14166.0,14993.0,15460.0,15587.0,15497.0,15992.0,16697.0,15628.0,16304.0,16829.0,17259.0,17551.0,18311.0,17207.0,17144.0,17955.0,18746.0,19683.0,21852.0,23511.0,23131.0,20047.0,18206.0,17604.0,17966.0,17642.0,18104.0,18595.0,19418.0,19840.0,21116.0,21910.0,17859.0
6,arg,Argentina,17043.0,15892.0,15226.0,15613.0,15786.0,14613.0,15532.0,15780.0,15339.0,14257.0,14145.0,15222.0,16209.0,17312.0,18092.0,17363.0,18105.0,19348.0,19866.0,18981.0,18625.0,17611.0,15523.0,16715.0,18033.0,19426.0,20778.0,22424.0,23103.0,21520.0,23521.0,24648.0,24119.0,24424.0,23550.0,23934.0,23190.0,23597.0,22759.0,22064.0,19671.0
7,arm,Armenia,6880.0,6875.0,6862.0,6699.0,6705.0,6691.0,6420.0,5846.0,5364.0,5854.0,5180.0,4617.0,2736.0,2554.0,2757.0,3008.0,3234.0,3379.0,3654.0,3799.0,4048.0,4464.0,5082.0,5824.0,6472.0,7420.0,8464.0,9708.0,10468.0,9052.0,9286.0,9725.0,10398.0,10691.0,11020.0,11321.0,11303.0,12115.0,12715.0,13654.0,12619.0
8,aus,Australia,26238.0,26681.0,26219.0,25896.0,27384.0,28421.0,28626.0,29590.0,30412.0,31204.0,31155.0,30638.0,30393.0,31310.0,32215.0,33049.0,33883.0,34835.0,36052.0,37450.0,38462.0,38680.0,39739.0,40424.0,41578.0,42348.0,42894.0,44266.0,44975.0,44910.0,45131.0,45605.0,46571.0,46960.0,47437.0,47784.0,48347.0,48633.0,49304.0,49612.0,48058.0
9,aut,Austria,28801.0,28893.0,29587.0,30692.0,30976.0,31837.0,32744.0,33447.0,34615.0,36159.0,37560.0,38467.0,38843.0,38727.0,39504.0,40496.0,41392.0,42211.0,43674.0,45140.0,46551.0,46961.0,47503.0,47717.0,48719.0,49474.0,50930.0,52657.0,53259.0,51120.0,51934.0,53273.0,53391.0,53091.0,53026.0,52967.0,53439.0,54343.0,55474.0,56030.0,52089.0
